"","noneKNN","correaltion5KNN","correlation11KNN","correlation50KNN","highcorrelatedSvm","correlatedSvm","highcorrelatedRPart","correlatedRPart"
"Abdominal.hernias.and.other.abdominal.wall.conditions",0.968036529680365,0.968036529680365,0.968036529680365,0.968036529680365,0.968036529680365,0.968036529680365,0.493150684931507,0.5
"Abortions.and.stillbirth",0.977168949771689,0.977168949771689,0.977168949771689,0.977168949771689,0.977168949771689,0.977168949771689,0.500456621004566,0.49634703196347
"Acid.base.disorders",0.815525114155251,0.808675799086758,0.817351598173516,0.815068493150685,0.815068493150685,0.815068493150685,0.507762557077626,0.500684931506849
"Administration.site.reactions",0.819634703196347,0.819178082191781,0.821917808219178,0.821917808219178,0.821917808219178,0.821917808219178,0.510730593607306,0.500228310502283
"Adrenal.gland.disorders",0.561187214611872,0.614155251141553,0.662100456621005,0.681735159817352,0.711415525114155,0.717808219178082,0.498173515981735,0.512328767123288
"Age.related.factors",0.9337899543379,0.931506849315068,0.9337899543379,0.9337899543379,0.9337899543379,0.9337899543379,0.500456621004566,0.503424657534247
"Allergic.conditions",0.865296803652968,0.86027397260274,0.865296803652968,0.865296803652968,0.865296803652968,0.865296803652968,0.491780821917808,0.502739726027397
"Anaemias.nonhaemolytic.and.marrow.depression",0.527853881278539,0.578082191780822,0.594063926940639,0.63972602739726,0.669406392694064,0.701369863013699,0.51324200913242,0.5
"Anal.and.rectal.conditions.NEC",0.874429223744292,0.871232876712329,0.874429223744292,0.874429223744292,0.874429223744292,0.874429223744292,0.507305936073059,0.502283105022831
"Ancillary.infectious.topics",0.698630136986301,0.712328767123288,0.723287671232877,0.726027397260274,0.740182648401826,0.732420091324201,0.493150684931507,0.506164383561644
"Aneurysms.and.artery.dissections",0.825114155251142,0.812785388127854,0.822374429223744,0.82648401826484,0.827397260273973,0.82648401826484,0.49041095890411,0.515753424657534
"Angioedema.and.urticaria",0.865296803652968,0.862100456621005,0.865296803652968,0.865296803652968,0.865296803652968,0.865296803652968,0.502511415525114,0.500228310502283
"Anterior.eye.structural.change..deposit.and.degeneration",0.766666666666667,0.775342465753425,0.775799086757991,0.771689497716895,0.792694063926941,0.777625570776256,0.500456621004566,0.481735159817352
"Anxiety.disorders.and.symptoms",0.559817351598173,0.638356164383562,0.63972602739726,0.621917808219178,0.707762557077626,0.708219178082192,0.508675799086758,0.503196347031963
"Appetite.and.general.nutritional.disorders",0.580365296803653,0.610502283105023,0.628767123287671,0.646575342465753,0.708219178082192,0.685388127853881,0.514155251141553,0.510958904109589
"Arteriosclerosis..stenosis..vascular.insufficiency.and.necrosis",0.472602739726027,0.58310502283105,0.580821917808219,0.631506849315069,0.707762557077626,0.689497716894977,0.498630136986301,0.502283105022831
"Aural.disorders.NEC",0.748858447488584,0.764840182648402,0.763013698630137,0.76027397260274,0.792237442922374,0.76986301369863,0.494292237442922,0.494292237442922
"Autoimmune.disorders",0.735159817351598,0.747488584474886,0.759360730593607,0.753424657534247,0.76027397260274,0.75662100456621,0.507534246575343,0.512557077625571
"Bacterial.infectious.disorders",0.751141552511416,0.754794520547945,0.759360730593607,0.76027397260274,0.765296803652968,0.761643835616438,0.49634703196347,0.495890410958904
"Bile.duct.disorders",0.958904109589041,0.958904109589041,0.958904109589041,0.958904109589041,0.958904109589041,0.958904109589041,0.502739726027397,0.501826484018265
"Bladder.and.bladder.neck.disorders..excl.calculi.",0.762557077625571,0.773059360730594,0.772146118721461,0.771689497716895,0.798630136986301,0.781278538812785,0.50365296803653,0.511872146118721
"Body.temperature.conditions",0.765296803652968,0.701826484018265,0.772602739726027,0.773972602739726,0.780821917808219,0.776255707762557,0.508447488584475,0.510045662100457
"Bone.and.joint.injuries",0.940639269406393,0.944292237442922,0.940639269406393,0.940639269406393,0.940639269406393,0.940639269406393,0.507762557077626,0.500228310502283
"Bone.disorders..excl.congenital.and.fractures.",0.761643835616438,0.770319634703196,0.770776255707763,0.769406392694064,0.778538812785388,0.772146118721461,0.505479452054794,0.497716894977169
"Bone..calcium..magnesium.and.phosphorus.metabolism.disorders",0.77351598173516,0.78310502283105,0.782191780821918,0.780821917808219,0.78310502283105,0.781735159817352,0.505936073059361,0.493835616438356
